Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom, Accuracy, Gap
399.8,344,484,55.8,84.2,0.4,0.7
399.8,344,484,55.8,84.2,0.4,0.7
311.2,219,359,92.2,47.8,0.9,0.7
339.2,248,388,91.2,48.8,0.9,0.7
534.4,430,570,104.4,35.6,0.9,0.7
534.4,448,588,86.4,53.6,0.8,0.7
231.6,52,192,179.6,-39.6,-0.1,0.7
393.6,319,459,74.6,65.4,0.7,0.7
230.8,54,194,176.8,-36.8,-0.1,0.7
228.6,45,185,183.6,-43.6,-0.2,0.7
401.8,330,470,71.8,68.2,0.6,0.7
233.0,73,213,160.0,-20.0,0.1,0.7
251.6,132,272,119.6,20.4,0.7,0.7
266.4,160,300,106.4,33.6,0.9,0.7
532.2,447,587,85.2,54.8,0.8,0.7
513.4,416,556,97.4,42.6,1.0,0.7
309.0,205,345,104.0,36.0,0.9,0.7
234.2,76,216,158.2,-18.2,0.2,0.7
484.8,364,504,120.8,19.2,0.7,0.7
236.4,26,166,210.4,-70.4,-0.6,0.7
389.2,314,454,75.2,64.8,0.7,0.7
233.2,59,199,174.2,-34.2,-0.1,0.7
309.8,180,320,129.8,10.2,0.6,0.7
340.6,243,383,97.6,42.4,1.0,0.7
309.8,218,358,91.8,48.2,0.9,0.7
536.8,446,586,90.8,49.2,0.9,0.7
268.0,154,294,114.0,26.0,0.8,0.7
307.2,176,316,131.2,8.8,0.5,0.7
260.6,143,283,117.6,22.4,0.7,0.7
392.4,304,444,88.4,51.6,0.9,0.7
228.0,34,174,194.0,-54.0,-0.3,0.7
313.4,222,362,91.4,48.6,0.9,0.7
313.4,230,370,83.4,56.6,0.8,0.7
483.6,372,512,111.6,28.4,0.8,0.7
237.2,98,238,139.2,0.8,0.4,0.7
516.4,416,556,100.4,39.6,1.0,0.7
485.6,377,517,108.6,31.4,0.9,0.7
252.2,142,282,110.2,29.8,0.8,0.7
232.2,39,179,193.2,-53.2,-0.3,0.7
516.2,413,553,103.2,36.8,0.9,0.7
485.4,386,526,99.4,40.6,1.0,0.7
232.6,54,194,178.6,-38.6,-0.1,0.7
310.0,180,320,130.0,10.0,0.6,0.7
340.6,246,386,94.6,45.4,1.0,0.7
540.8,478,618,62.8,77.2,0.5,0.7
488.2,394,534,94.2,45.8,0.9,0.7
542.2,460,600,82.2,57.8,0.8,0.7
391.4,324,464,67.4,72.6,0.6,0.7
515.6,414,554,101.6,38.4,0.9,0.7
238.6,30,170,208.6,-68.6,-0.5,0.7
542.2,500,640,42.2,97.8,0.2,0.7
484.0,377,517,107.0,33.0,0.9,0.7
267.2,155,295,112.2,27.8,0.8,0.7
237.2,110,250,127.2,12.8,0.6,0.7
236.0,25,165,211.0,-71.0,-0.6,0.7
341.8,254,394,87.8,52.2,0.9,0.7
389.0,301,441,88.0,52.0,0.9,0.7
389.0,315,455,74.0,66.0,0.7,0.7
311.2,206,346,105.2,34.8,0.9,0.7
542.2,477,617,65.2,74.8,0.5,0.7
232.4,71,211,161.4,-21.4,0.1,0.7
236.2,25,165,211.2,-71.2,-0.6,0.7
357.6,276,416,81.6,58.4,0.8,0.7
542.6,459,599,83.6,56.4,0.8,0.7
542.6,494,634,48.6,91.4,0.3,0.7
237.4,116,256,121.4,18.6,0.7,0.7
251.4,142,282,109.4,30.6,0.8,0.7
