Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom,Accuracy,Gap
482.6,364.0,504.0,118.6,21.4,0.4278,0.7
251.8,127.0,267.0,124.8,15.2,0.2556,0.7
231.0,48.0,188.0,183.0,-43.0,-1.3612,0.7
310.2,205.0,345.0,105.2,34.8,0.8,0.7
484.0,347.0,487.0,137.0,3.0,-0.0834,0.7
266.4,165.0,305.0,101.4,38.6,0.9056,0.7
308.6,212.0,352.0,96.6,43.4,0.9612,0.7
540.6,472.0,612.0,68.6,71.4,0.1834,0.7
513.6,419.0,559.0,94.6,45.4,0.9056,0.7
309.6,230.0,370.0,79.6,60.4,0.4888,0.7
250.2,140.0,280.0,110.2,29.8,0.6612,0.7
480.0,348.0,488.0,132.0,8.0,0.0556,0.7
535.2,442.0,582.0,93.2,46.8,0.8666,0.7
235.4,81.0,221.0,154.4,-14.4,-0.5666,0.7
307.4,187.0,327.0,120.4,19.6,0.3778,0.7
236.4,74.0,214.0,162.4,-22.4,-0.7888,0.7
484.4,382.0,522.0,102.4,37.6,0.8778,0.7
387.6,293.0,433.0,94.6,45.4,0.9056,0.7
392.8,314.0,454.0,78.8,61.2,0.4666,0.7
233.0,52.0,192.0,181.0,-41.0,-1.3056,0.7
266.0,164.0,304.0,102.0,38.0,0.8888,0.7
543.2,484.0,624.0,59.2,80.8,-0.0778,0.7
234.4,108.0,248.0,126.4,13.6,0.2112,0.7
252.2,130.0,270.0,122.2,17.8,0.3278,0.7
484.4,379.0,519.0,105.4,34.6,0.7944,0.7
484.0,351.0,491.0,133.0,7.0,0.0278,0.7
234.2,90.0,230.0,144.2,-4.2,-0.2834,0.7
401.4,340.0,480.0,61.4,78.6,-0.0166,0.7
340.2,245.0,385.0,95.2,44.8,0.9222,0.7
540.4,471.0,611.0,69.4,70.6,0.2056,0.7
267.4,152.0,292.0,115.4,24.6,0.5166,0.7
271.8,171.0,311.0,100.8,39.2,0.9222,0.7
227.8,35.0,175.0,192.8,-52.8,-1.6334,0.7
230.2,45.0,185.0,185.2,-45.2,-1.4222,0.7
234.6,89.0,229.0,145.6,-5.6,-0.3222,0.7
543.0,456.0,596.0,87.0,53.0,0.6944,0.7
238.0,103.0,243.0,135.0,5.0,-0.0278,0.7
340.2,252.0,392.0,88.2,51.8,0.7278,0.7
389.2,308.0,448.0,81.2,58.8,0.5334,0.7
488.2,400.0,540.0,88.2,51.8,0.7278,0.7
390.2,321.0,461.0,69.2,70.8,0.2,0.7
390.2,307.0,447.0,83.2,56.8,0.5888,0.7
481.2,356.0,496.0,125.2,14.8,0.2444,0.7
231.0,55.0,195.0,176.0,-36.0,-1.1666,0.7
273.0,174.0,314.0,99.0,41.0,0.9722,0.7
341.2,270.0,410.0,71.2,68.8,0.2556,0.7
236.4,80.0,220.0,156.4,-16.4,-0.6222,0.7
542.6,480.0,620.0,62.6,77.4,0.0166,0.7
340.6,244.0,384.0,96.6,43.4,0.9612,0.7
340.6,259.0,399.0,81.6,58.4,0.5444,0.7
309.8,209.0,349.0,100.8,39.2,0.9222,0.7
315.0,238.0,378.0,77.0,63.0,0.4166,0.7
542.0,472.0,612.0,70.0,70.0,0.2222,0.7
231.0,52.0,192.0,179.0,-39.0,-1.25,0.7
455.8,405.0,545.0,50.8,89.2,-0.3112,0.7
541.0,455.0,595.0,86.0,54.0,0.6666,0.7
536.0,441.0,581.0,95.0,45.0,0.9166,0.7
237.0,79.0,219.0,158.0,-18.0,-0.6666,0.7
520.6,425.0,565.0,95.6,44.4,0.9334,0.7
311.2,209.0,349.0,102.2,37.8,0.8834,0.7
486.2,384.0,524.0,102.2,37.8,0.8834,0.7
514.2,413.0,553.0,101.2,38.8,0.9112,0.7
307.2,208.0,348.0,99.2,40.8,0.9666,0.7
517.8,412.0,552.0,105.8,34.2,0.7834,0.7
542.2,499.0,639.0,43.2,96.8,-0.5222,0.7
311.6,230.0,370.0,81.6,58.4,0.5444,0.7
532.8,438.0,578.0,94.8,45.2,0.9112,0.7
343.4,272.0,412.0,71.4,68.6,0.2612,0.7
399.4,326.0,466.0,73.4,66.6,0.3166,0.7
532.4,446.0,586.0,86.4,53.6,0.6778,0.7
513.6,408.0,548.0,105.6,34.4,0.7888,0.7
232.2,44.0,184.0,188.2,-48.2,-1.5056,0.7
233.2,58.0,198.0,175.2,-35.2,-1.1444,0.7
238.4,32.0,172.0,206.4,-66.4,-2.0112,0.7
310.0,204.0,344.0,106.0,34.0,0.7778,0.7
537.2,452.0,592.0,85.2,54.8,0.6444,0.7
532.2,437.0,577.0,95.2,44.8,0.9222,0.7
307.8,196.0,336.0,111.8,28.2,0.6166,0.7
232.2,35.0,175.0,197.2,-57.2,-1.7556,0.7
483.4,372.0,512.0,111.4,28.6,0.6278,0.7
480.0,347.0,487.0,133.0,7.0,0.0278,0.7
306.8,196.0,336.0,110.8,29.2,0.6444,0.7
312.2,221.0,361.0,91.2,48.8,0.8112,0.7
403.2,342.0,482.0,61.2,78.8,-0.0222,0.7
389.6,314.0,454.0,75.6,64.4,0.3778,0.7
355.8,275.0,415.0,80.8,59.2,0.5222,0.7
540.8,459.0,599.0,81.8,58.2,0.55,0.7
308.8,230.0,370.0,78.8,61.2,0.4666,0.7
236.0,105.0,245.0,131.0,9.0,0.0834,0.7
489.2,393.0,533.0,96.2,43.8,0.95,0.7
313.2,225.0,365.0,88.2,51.8,0.7278,0.7
308.2,205.0,345.0,103.2,36.8,0.8556,0.7
391.4,315.0,455.0,76.4,63.6,0.4,0.7
542.6,467.0,607.0,75.6,64.4,0.3778,0.7
311.8,235.0,375.0,76.8,63.2,0.4112,0.7
543.8,486.0,626.0,57.8,82.2,-0.1166,0.7
249.0,137.0,277.0,112.0,28.0,0.6112,0.7
542.2,481.0,621.0,61.2,78.8,-0.0222,0.7
235.2,92.0,232.0,143.2,-3.2,-0.2556,0.7
488.4,400.0,540.0,88.4,51.6,0.7334,0.7
234.0,91.0,231.0,143.0,-3.0,-0.25,0.7
310.8,180.0,320.0,130.8,9.2,0.0888,0.7
520.6,420.0,560.0,100.6,39.4,0.9278,0.7
479.8,359.0,499.0,120.8,19.2,0.3666,0.7
512.0,406.0,546.0,106.0,34.0,0.7778,0.7
382.6,285.0,425.0,97.6,42.4,0.9888,0.7
249.8,135.0,275.0,114.8,25.2,0.5334,0.7
484.0,386.0,526.0,98.0,42.0,1.0,0.7
389.6,290.0,430.0,99.6,40.4,0.9556,0.7
540.8,490.0,630.0,50.8,89.2,-0.3112,0.7
388.8,297.0,437.0,91.8,48.2,0.8278,0.7
399.4,345.0,485.0,54.4,85.6,-0.2112,0.7
381.0,289.0,429.0,92.0,48.0,0.8334,0.7
311.6,224.0,364.0,87.6,52.4,0.7112,0.7
486.6,380.0,520.0,106.6,33.4,0.7612,0.7
484.0,373.0,513.0,111.0,29.0,0.6388,0.7
537.0,440.0,580.0,97.0,43.0,0.9722,0.7
485.2,387.0,527.0,98.2,41.8,0.9944,0.7
539.2,471.0,611.0,68.2,71.8,0.1722,0.7
402.2,342.0,482.0,60.2,79.8,-0.05,0.7
539.8,497.0,637.0,42.8,97.2,-0.5334,0.7
306.6,183.0,323.0,123.6,16.4,0.2888,0.7
341.4,250.0,390.0,91.4,48.6,0.8166,0.7
238.6,25.0,165.0,213.6,-73.6,-2.2112,0.7
231.2,52.0,192.0,179.2,-39.2,-1.2556,0.7
389.2,300.0,440.0,89.2,50.8,0.7556,0.7
339.8,268.0,408.0,71.8,68.2,0.2722,0.7
250.4,141.0,281.0,109.4,30.6,0.6834,0.7
